mt,ref,score
"Next, Chongqing government will carry out in-depth special rectification actions, accelerate sorting up of the shoreline utilization projects along the Yangtze River, and complete a new round of surveys of the Yangtze River's sewage outlets and carry out corresponding rectification actions, it will basically complete remediation of the three types of enterprises involving phosphorus (phosphate mines, phosphorous chemical plants and phosphogypsum warehouses), cleanup and rectification of small-scale hydropower plants, promote the special afforestation and greening on both sides of the Yangtze River, strengthen construction of green mines, consolidate the achievements from special rectifications of illegal docks and illegal sand mining practices on the mainstream of the Yangtze River to further promote the fishing ban and fishing give-up actions in the Yangtze River Basin.","In the next step, Chongqing will carry out in-depth special rectification actions, accelerate the cleanup and rectification of the utilization projects on the shoreline of the Yangtze River, complete a new round of surveys on sewage outflow of the Yangtze River and carry out corresponding rectification actions, basically complete the ""three phosphorus"" rectification tasks (referring to phosphate mines, phosphorus chemical industry, and phosphogypsum reservoirs), conduct small hydropower clean-up and rectification, promote the special forestation and greening activities on both sides of the Yangtze River, strengthen the construction of green mines, consolidate the results of the special rectification of illegal docks and illegal sand mining on the main stream of the Yangtze River, and further promote the ban on fishing and fishing-quitting work on the Yangtze River.",-1
"Xinhua News Agency, Hong Kong, July 25 - Xu Zhengyu, the Secretary for Financial Services and the Treasury, said that the financial market in Hong Kong remains active and functioning in an orderly manner.","Xinhua News Agency, Hong Kong, July 25: Christopher Hui Ching-yu, Secretary for Financial Services and the Treasury of the Hong Kong Special Administrative Region Government, stated that Hong Kong’s financial market remains active and well-ordered.",-5
He was optimistic about the financial stability and economy in Hong Kong.,He also said he is optimistic about Hong Kong’s financial stability and economy.,-5
"At a webinar co-organized by the Hong Kong Economic and Trade Office in Toronto and the Hong Kong-Canada Business Association (Canadian General Chamber of Commerce) on July 24 (Toronto time), Xu Zhengyu said Hong Kong is going through a difficult situation because of the ""controversy over the amendment of Fugitive Offenders Ordinance"" and the COVID-19 epidemic.","On the 24th (Toronto time), in an online forum co-hosted by the Hong Kong Economic and Trade Office in Toronto and the Hong Kong-Canada Business Association (Canada), Christopher Hui Ching-yu stated that Hong Kong is in the midst of adverse conditions due to the “anti-extradition amendment movement” and the COVID-19 epidemic.",-10
The exchange rate of Hong Kong dollar is stable and tilted towards the guaranteed level of exchange for the strong side.,The Hong Kong dollar’s exchange rate is stable and favors the HKMA exchange rate.,-5
"The banking system shows no clear signs of capital outflows, but on the contrary, more than USD11 billion has flowed in since June.","There are no obvious indications of capital outflows in the banking system, in fact since June, there have been more than 11 billion USD in capital inflows.",0
"Total bank deposits have also continued to increase over the past few months, and the stock market has seen a spate of public offerings to raise fund, with market transactions rising repeatedly.","Over the past few months, total bank deposits have also continued to increase, there has been a series of IPO’s, and market transactions are increasing.",-10
"Xu Zhengyu said the COVID-19 epidemic has put pressure on the global economy and financial markets, but Hong Kong's fundamental strengths remain intact.","Christopher Hui Ching-yu says that while the COVID-19 epidemic has created pressure on the global economy and financial market, Hong Kong’s fundamental advantages remain the same.",-10
"Hong Kong continues to be a leading international financial center for its many advantages, including geography, the rule of law, high-speed communications, free flow of information and capital, and a simple and low tax system.","Hong Kong’s many advantages that make it a leading international center for finance include location, rule of law, high-speed telecommunications, the free flow of capital and information, and a simple tax system with low tax rates.",-5
"Xu Zhengyu pointed out that the Hong Kong SAR Government has set aside 6 billion Hong Kong dollars in the ""Pandemic Prevention and Control Fund"" to create around 30,000 time-limited jobs in the public and private sectors in the next two years, covering people with different skills and educational backgrounds.","He states that the SAR government has provided 6 billon HKD in “epidemic prevention and epidemic-related funding” to create roughly 30,000 time-limited jobs over the next two years to cover people with a variety of backgrounds and educational qualifications.",-25
